,title,authors,type,year_correct,year_number,collected_by,number_authors
1371,Nikolaus von Kues und Raimund Llull: Aus Handschriften d. Kueser Bibliothek,['Eusebio Colomer'],Publication,True,1961,Fabian,1
1372,"Reclam Universal-Bibliothek, Nr.1, Faust I: Der Tragödie erster Teil",['Johann Wolfgang von Goethe'],Publication,True,1996,Fabian,1
1373,Bibliothek 2.0. Neue Perspektiven und Einsatzm�glichkeiten f�r wissenschaftliche Bibliotheken,['Michaela Selbach'],Publication,True,2007,Fabian,1
1374,Konstruktion einer Glykosyltransferasegen-Bibliothek und ihr Einsatz in der kombinatorischen Biosynthese,['Axel Christoph Trefzer'],Publication,True,2001,Fabian,1
1375,Mathias Bertram (Hg.): Digitale Bibliothek: Deutsche Literatur von Lessing bis Kafka,"['Fotis Jannidis', 'Katja Mellmann']",Publication,True,1999,Fabian,2
1376,Der Papyrus 1676 der herculanensischen Bibliothek (Philodemos _P63_E63_R63_I63 _P63_O63_I63_J63_M63_A63_T63_W63_N63): Text u. Übers.,['Josef Heidmann'],Publication,True,1937,Fabian,1
1378,Adaptive Case Management in Bibliotheken - Implementierung in der Bibliothek der DHBW Heidenheim,['Martina Haller'],Publication,True,2016,Fabian,1
1379,Publikation von Wissenschaft an der Hochschule-Kooperation zwischen Wissenschaftlern und ihrer Bibliothek,['E.R. Hilf'],Publication,True,1999,Fabian,1
1380,Die Bibliothek der Zukunft - Text und Schrift in den Zeiten des Internet,['D. E. Zimmer'],Publication,True,2000,Fabian,1
1381,Die Kulturwissenschaftliche Bibliothek Warburg: Geschichte und Persönlichkeiten der Bibliothek Warburg mit Berücksichtigung der Bibliothekslandschaft und der Stadtsituation der Freien und Hansestadt Hamburg zu Beginn des 20. Jahrhunderts,['Hans-Michael Schäfer'],Publication,True,2002,Fabian,1
1382,Die Kulturwissenschaftliche Bibliothek Warburg: Geschichte und Persönlichkeiten der Bibliothek Warburg mit Berücksichtigung der Bibliothekslandschaft und der Stadtsituation der Freien und Hansestadt Hamburg zu Beginn des 20. Jahrhunderts,['Hans-Michael Schäfer'],Publication,True,2002,Fabian,1
1383,"Global denken, lokal handeln",['Rebekkah Smith Aldrich'],Publication,True,2015,Fabian,1
1385,"Begrünte Dächer haben viele Vorteile - sie schützen vor Hitze und Kälte, schonen die Kanalisation und sehen einfach schön aus. Zwei Beispiele für Bibliotheken mit ""Green Roofs"" aus dem Osten und dem Westen der USA",['_ Bibliothek mit Dachgarten'],Publication,True,2015,Fabian,1
1386,Aufwand und Nutzen beim Einsatz von Social-Bookmarking-Services als Nachweisinstrument für wissenschaftliche Forschungsartikel am Beispiel von BibSonomy.,['Katharina Regulski'],Publication,True,2007,Fabian,1
1387,Potente HIV-gerichtete RNA-Interferenz mittels Selektion einer randomisierten lentiviralen shRNA-Bibliothek,['Carola Pongratz'],Publication,True,2008,Fabian,1
1388,Screening einer Phagen-Bibliothek auf Endothelzellprimärkulturen zur Identifizierung von Tumorendothel-assoziierten Antigenen,['Thomas Wäkerle'],Publication,True,2003,Fabian,1
1389,Von der Überwindung der Furcht. Bibliothek der Antike. Katechismus. Lehrbriefe. Spruchsammlung. Fragmente,[' Epikur'],Publication,True,1998,Fabian,1
1390,Die Miniaturenhandschriften der Gießener Universitätsbibliothek und der Gräfl. Solmsischen Bibliothek zu Laubach,['Hermann Otto Vaubel'],Publication,True,1927,Fabian,1
1391,Konzeption und Implementierung von Objekt-Repositorien auf Basis der Ulmer Oberon-Bibliothek,['Werner Stanglow'],Publication,True,1996,Fabian,1
1392,Konzeption und Implementierung von Objekt-Repositorien auf Basis der Ulmer Oberon-Bibliothek.,['Werner Stanglow'],Publication,True,1996,Fabian,1
1393,Bibliometrie: Ein neuer Service der Bibliothek der TU Chemnitz in der Forschungsunterstützung,"['Carolin Ahnert', 'Martin Bauschmann']",Publication,True,2017,Fabian,2
1394,Die Bibliotheca Alexandrina: Eine sich selbst erfindende Bibliothek des Lehrens und Lernens,"['Nissen Martin', 'Heller Lambert']",Publication,True,2013,Fabian,2
1395,Eigenschaften heterotypisch interagierender Transmembranhelices ermittelt durch den Einsatz einer kombinatorischen DNS-Bibliothek,['Dominik Steindorf'],Publication,True,2015,Fabian,1
1396,Biochromatographie einer kombinatorischen Phagen-Peptid-Bibliothek: humane Antikörper gegen ein humanes Zytokin,['Barbara Krebs'],Publication,True,1998,Fabian,1
1397,Studien zur Geschichte der Bibliothek der Abtei St. Eucharius-Matthias zu Trier,['Josef Montebaur'],Publication,True,1928,Fabian,1
1398,"Molekularbiologie der zystischen Fibrose: cDNA-Bibliothek, chromosomale DNA-Sonden und biologisches Testsystem",['Wilfried Bautsch'],Publication,True,1989,Fabian,1
1399,Bibliothek der Kirchenversammlungen des vierten und fünften Jahrhunderts in Uebersezungen und Auszügen,['Georg Daniel Fuchs'],Publication,True,1783,Fabian,1
1401,Informationskompetenz vermitteln -- Das modulare Blended- Learning-Szenario der Bibliothek der Universität Konstanz,['Sandra Merten'],Publication,True,2005,Fabian,1
1402,Der Bilderzyklus in der Bibliothek des Klosters San Giorgio Maggiore in Venedig,['Ulrike Mertz'],Publication,True,1975,Fabian,1
1403,Die Etablierung einer chromosomen-spezifischen DNA-Bibliothek des menschlichen Genoms mittels Mikrodissektion,['Elif Ermis'],Publication,True,2005,Fabian,1
1404,Aufklärung und Bibliophilie: der Hannoveraner Sammler Georg Friedrich Brandes und seine Bibliothek,['Gabriele Crusius'],Publication,True,2007,Fabian,1
1405,Die Ethik wissenschaftlicher Textproduktion im Zeitalter des Internets. Wie Google und Wikipedia zunehmend die Recherche in der Bibliothek ersetzen,['Stefan Weber'],Publication,True,2014,Fabian,1
1406,Bibliotheken der Dinge als neues Arbeitsfeld Öffentlicher Bibliotheken: Eine explorative Studie auf Basis von Expert:inneninterviews.  Bachelorarbeit Bibliotheks- und Informationsmanagement,['Albert Schmid'],Publication,True,2021,Fabian,1
1407,Der Neubau für die Königliche Bibliothek und die Akademie der Wissenschaften in Berlin,"['Friedrich Schultze', 'Gustav Meyer']",Publication,True,1914,Fabian,2
1408,Erstellung einer genomischen BAC-Bibliothek für Untersuchungen zur Geschlechtsdeterminierung im Tiermodell Ellobius lutescens,['Alexandra Süß'],Publication,True,2008,Fabian,1
1409,Isolierung und Charakterisierung genomischer Klone für Milchprotein-Gene aus einer bovinen Cosmid-Bibliothek,['Gabriele Plenz'],Publication,True,1989,Fabian,1
1410,"Charakterisierung von anonymen, menschlichen DNA-Sonden aus einer Chromosom 20-spezifischen DNA-Bibliothek",['Eric Schulze-Bahr'],Publication,True,1996,Fabian,1
1411,FTIR-spektrometrische Ähnlichkeits- und Identitätssuchen am Beispiel einer digitalisierten FTIRS-Bibliothek organischer Pigmente,['Marc Amberg'],Publication,True,1995,Fabian,1
1412,Erstellung einer genomischen BAC Bibliothek für Untersuchungen zur Geschlechtsdeterminierung im Tiermodell Ellobius lutescens,['Alexandra Süß'],Publication,True,2008,Fabian,1
1413,"Metadatenmapping im Projekt Deutsche Digitale Bibliothek anhand von Dublin Core, Lido und EAD.",['Miyasat Alieva'],Publication,True,2011,Fabian,1
1417,Modelica Predictive Control - An MPC Library for Modelica (Eine MPC-Bibliothek für Modelica).,"['Sebastian Hölemann', 'Dirk Abel']",Publication,True,2009,Fabian,2
1418,"Untersuchungen über die Katharinenlegende des Hs. II, 143 der Kgl. Bibliothek zu Brüssel",['William Edward Collinson'],Publication,True,1914,Fabian,1
1419,Zur Erweiterung von Programmiersprachen durch Bibliotheken: Konzeption und Realisierung der Ulmer Oberon-Bibliothek,['Andreas Franz Borchert'],Publication,True,1994,Fabian,1
1420,Zur Erweiterung von Programmiersprachen durch Bibliotheken: Konzeption und Realisierung der Ulmer Oberon-Bibliothek.,['Andreas Franz Borchert'],Publication,True,1994,Fabian,1
1421,Die Herzogin Anna Amalia Bibliothek in Weimar: zur Baugeschichte im Zeitalter der Aufklärung,['Miriam von Gehren'],Publication,True,2010,Fabian,1
1423,Universitätsverlage: Stand und Entwicklungsperspektiven : der Vortrag wurde gehalten am 22. März auf dem 95. Deutschen Bibliothekartag im Themenkreis 8,['Axel Halle'],Publication,True,2006,Fabian,1
1424,Erfahrungsbericht: Praktische Umsetzung des Informationsmanagements,['Helge Steenweg'],Publication,True,1999,Fabian,1
1427,"Leseverhalten und Leseförderung: zur Rolle von Schule, Familie und Bibliothek im Medienalltag Heranwachsender",['Priska Bucher'],Publication,True,2003,Fabian,1
1428,Aufbau eines Assays zur In-vitro-Selektion einer Adenosindesaminase aus einer RNA-Bibliothek,['Jörn Wolf'],Publication,True,2007,Fabian,1
1431,"Erwerbungen der ""Bibliothek der Hansestadt Hamburg"" aus ehemals jüdischem Besitz (1940 bis 1944)",['Otto-Ernst Krawehl'],Publication,True,2002,Fabian,1
1432,Die Suche nach der symbolischen Form: d. Kreis um d. Kulturwiss. Bibliothek Warburg,['Martin Jesinghausen'],Publication,True,1981,Fabian,1
1433,Die Bibliothek der ehemaligen Mainzer Kartause: die Handschriften u. ihre Gesch. ; darstellender Teil,['Heinrich Schreiber'],Publication,True,1925,Fabian,1
1434,Die Suche nach der symbolischen Form: d. Kreis um d. kulturwiss. Bibliothek Warburg,['Martin Jesinghausen-Lauster'],Publication,True,1981,Fabian,1
1435,"Die elektronische Bibliothek. Literatur- und Informationsbeschaffung im Internet. 2., überarb. und erw. Aufl.",['H. Hehl'],Publication,True,2001,Fabian,1
1436,State-of-the-Art Kryptoverfahren für drahtlose Sensornetze - Eine Krypto-Bibliothek für MantisOS.,"['Björn Stelte', 'Björn Saxe']",Publication,True,2010,Fabian,2
1437,Schreibende Frauen um 1500: Scriptorium und Bibliothek des Dominikanerinnenklosters St. Katharina St. Gallen,['Simone Mengis'],Publication,True,2006,Fabian,1
1438,Einbindung von Primärdaten in Digitale Bibliotheken,"['Maximilian Stempfhuber', 'Benjamin Zapilko']",Publication,True,2009,Fabian,2
1439,SMART-Boards in Bibliotheken,"['Andreas Petrovitsch', 'Erik Senst', 'Sabine Wolf']",Publication,True,2011,Fabian,3
1440,Bibliotheken der Zukunft - Zukunft der Bibliotheken. Die Bibliothek in 10 Jahren - Zukunftsvisionen und Zukunftsstrategien,['Johanna Rachinger'],Publication,True,2008,Fabian,1
1441,Transfer zwischen Wissenschaft und Bibliothek: Beispiele aus der Praxis des Fachreferats Chemie und Verfahrenstechnik,['Thomas Hapke'],Publication,True,1999,Fabian,1
1442,"Die Erstellung, Charakterisierung und Nutzung einer DNA-Bibliothek von Gerste in künstlichen Hefechromosomen (YACs)",['Dagmar Schmidt'],Publication,True,1997,Fabian,1
1443,Membra disiecta: Inhalt und Wirkung der Bibliothek des Göttinger Professors Lüder Kulenkamp  ; (1724 - 1794),['Annette Pozzo'],Publication,True,2013,Fabian,1
1444,Die Rolle einer Universitätsbibliothek im E-Learning - oder: Auf dem Weg zur Bibliothek 2.0!?,['Thomas Hapke'],Publication,True,2006,Fabian,1
1445,Erstellung und Validierung einer kombinierten NIR-Raman-Bibliothek zur Identitätskontrolle organischer und anorganischer Substanzen,['Oliver Mandal'],Publication,True,1999,Fabian,1
1446,Handschriften der Welser: die Bibliothek der Paul-Wolfgang-Merkelschen-Familienstiftung im Germanischen Nationalmuseum Nürnberg,['Dominik Radlmaier'],Publication,True,2004,Fabian,1
1447,Von der Hol- zur Bringbibliothek,['Helge Steenweg'],Publication,True,2000,Fabian,1
1448,"Grüne Bibliotheken: ""Wir müssen auf die gesellschaftlichen Veränderungen reagieren“: Interview mit Tim Schumann",['Eleonore von Bothmer'],Publication,True,2021,Fabian,1
1449,Mikromanipulation am menschlichen Chromosom 22: Techniken zur Erstellung einer regionspezifischen DNA-Bibliothek (22q12.3-qter),['Uwe Färber'],Publication,True,1991,Fabian,1
1450,"Bücherspuren : das Schicksal von Elise und Helene Richter und ihrer Bibliothek im ""Dritten Reich""",['Christiane Hoffrath'],Publication,True,2009,Fabian,1
1451,"PC-gestützte, systemtheoretische Modellierung: Entwicklung einer Software-Bibliothek für die psychologische Lehre und Forschung.",['Günter Guttroff'],Publication,True,1997,Fabian,1
1452,Der Codex Borgia: Untersuchgn zur Ikonographie e. mexikan. Bilderhandschrift d. Vatikan. Bibliothek in Rom,['Bodo Spranz'],Publication,True,1959,Fabian,1
1453,Nutzerevaluation der Virtuellen Fachbibliothek Ethnologie : eine qualitative Usability-Studie,['Benjamin Blinten'],Publication,True,2005,Fabian,1
1454,Die Sonderdrucksammlung von Felix Pinkus (1968-1947) in der Bibliothek der Hautklinik der Charité,['Danny Bading'],Publication,True,2007,Fabian,1
1455,Das RFID-Projekt an der Bibliothek der Humboldt-Universität zu Berlin — Stand und Perspektiven,"['Anke Berghaus-Sprengel', 'Tobias Kühne']",Publication,True,2009,Fabian,2
1456,Entwicklung einer Modell-Bibliothek zur Simulation von Bahnspannung und Tänzerbewegung beim Transport von Materialbahnen,['Hubert Zitt'],Publication,True,2001,Fabian,1
1458,"Die Bibliothek des Petrus Mitte de Caprariis, Präzeptors der Antonier in Memmingen (1439-1479)",['Franz Samma'],Publication,True,1925,Fabian,1
1459,Membra disiecta: Inhalt und Wirkung der Bibliothek des Göttinger Professors Lüder Kulenkamp (1724 - 1794),['Annette Pozzo'],Publication,True,2013,Fabian,1
1460,Membra disiecta: Inhalt und Wirkung der Bibliothek des Göttinger Professors Lüder Kulenkamp (1724 - 1794),['Annette Pozzo'],Publication,True,2013,Fabian,1
1461,Konzeption und prototypische Realisierung einer Portalanwendung zur föderierten Suche im Online-Angebot einer Bibliothek.,['Marcus Wenzel'],Publication,True,2007,Fabian,1
1462,"How and why to try a blog for staff communication""",['Rachel Singer Gordon / Michael Stephens'],Publication,True,2006,Fabian,1
1463,Unterrichtstheorie in Bilddokumenten des 15. bis 17. Jahrhunderts: e. Studie zum Bildtypus der Accipies u. seinen Modifikationen im Bildbestand d. Univ.-Bibliothek Helmstedt u.d. Augusteischen Buchbestandes d. Herzog August Bibliothek in Wolfenbüttel,['Sabine Kirk'],Publication,True,1987,Fabian,1
1464,Bibliographie und Sacherschliessung in der Hand vernetzter Informationsbenutzer,['Lambert Heller'],Publication,True,2007,Fabian,1
1465,"Auskunftsdienste der Zentralbibliothek der FH Hannover:
Evaluation derzeitiger und Konzeption neuer Auskunftsdienste","['Nadine Meiers', 'Stefanie Schröder']",Publication,True,2011,Fabian,2
1466,Partizipative Entwicklung von Diensten in der Bibliothek 2.0: Methoden und Ergebnisse aus Katalog 2.0-Projekten,['Anne Christensen'],Publication,True,2009,Fabian,1
1467,HERAUSFORDERUNG BIBLIOTHEK 2.0 : Chancen und Risiken für Verbundkataloge durch die Anreicherung mit Web 2.0-Konzepten,['Barbara Haubenwaller'],Publication,True,2009,Fabian,1
1468,"eXamples of Modern Libraries - Publikation, Dokument und Format (XML - PDF) in der Bibliothek der Zukunft",['Thomas Hapke'],Publication,True,1999,Fabian,1
1469,"""Gut ist uns nie gut genug!"": Instrumente zur Qualitätsentwicklung und Qualitätssicherung für eine ausgezeichnete Bibliothek",['Tom Becker'],Publication,True,2010,Fabian,1
1470,"Etablierung einer embryonalen cDNA-Bibliothek und Klonierung eines FGFR-Homologs aus Enchytraeus coronatus (Annelida, Oligochaeta)",['Cyrill Brand'],Publication,True,2002,Fabian,1
1471,Vor dem Richterstuhl der Kritik: die Musik in Friedrich Nicolais Allgemeiner Deutscher Bibliothek 1765 - 1806,['Gudula Schütz'],Publication,True,2002,Fabian,1
1472,Die Bibliothek des Johann Christian von Boineburg (1622 - 1672): eine Beitrag zur Bibliotheksgeschichte des Polyhistorismus,['Kathrin Paasch'],Publication,True,2003,Fabian,1
1473,Mashups und Bibliotheken,"['Manfred Nowak', 'Lambert Heller', 'Sascha Korzen']",Publication,True,2010,Fabian,3
1474,Science Tracking auf der Spur – die Rolle von Bibliotheken im Kontext von Reading Analytics bei wissenschaftlichen Verlagen,['Petra Labriga'],Publication,True,2021,Fabian,1
1475,Die Bibliothek von Nag Hammadi: einige Probleme des Christentums in Ägypten während der ersten Jahrhunderte,['Aleksandr Leonovič Chosroev'],Publication,True,1994,Fabian,1
1477,Die Frauenzimmer-Bibliothek des Hamburger Patrioten von 1724 siebzehnhundertvierundzwanzig: zur weibl. Bildung in d. Frühaufklärung,['Peter Nasse'],Publication,True,1975,Fabian,1
1478,Die Messen der Santini-Bibliothek zu Münster i. W.: (Ein Beitr. z. Gesch. d. Messe),['Josef Albert Hüntemann'],Publication,True,1928,Fabian,1
1479,Die Bibliothek des Johann Christian von Boineburg (1622 - 1672): ein Beitrag zur Bibliotheksgeschichte des Polyhistorismus,['Kathrin Paasch'],Publication,True,2005,Fabian,1
1480,"""Wohlgelebt! Wohlgestorben?"" Leichenpredigten in der Historischen Bibliothek der Stadt Rudolstadt - H-Soz-u-Kult / Tagungsberichte",['Daniel Geißler'],Publication,True,2011,Fabian,1
1482,"Schrift, Wissen und Gedächtnis: das Motiv der Bibliothek als Spiegel des Medienwandels im 20. Jahrhundert",['Günther Stocker'],Publication,True,1996,Fabian,1
1484,Totalsynthese des Tyrosinkinase Inhibitors Nakijichinon C und Darstellung einer Bibliothek von Analoga durch kombinatorische Synthese,['Petra Stahl'],Publication,True,2000,Fabian,1
1485,Etablierung eines Systems zur Herstellung und Untersuchung einer REMI-Bibliothek des gerstepathogenen Pilzes Pyrenophora teres,['Anke Lösch'],Publication,True,2000,Fabian,1
1487,Data Librarian : ein neuer Studienschwerpunkt für wissenschaftliche Bibliotheken und Forschungseinrichtungen,"['Simone Fühles-Ubach', 'Philipp Schaer', 'Klaus Lepsky', 'Alwis Ragna Seidler de']",Publication,True,2019,Fabian,4
1488,Landmark with green credentials: Brighton’s “Jubilee Library”,['Gernot U. Gabel'],Publication,True,2013,Fabian,1
1489,"""Environmental awareness is on the rise"": Sustainability in Danish public libraries",['Hellen Niegaard'],Publication,True,2013,Fabian,1
1490,Informationskompetenz,[' Bibliothek der Universität Konstanz'],Publication,True,2005,Fabian,1
1491,VIAF (Virtual International Authority File): Linking Die Deutsche Bibliothek and Library of Congress Name Authority Files,"['Rick Bennett', 'Christina Hengel-Dittrich', 'Edward T. O’Neill', 'Barbara B. Tillett']",Publication,True,2006,Fabian,4
1492,Das Lexicon plantarum (Handschrift 604 d. Münchener Univ.-Bibliothek): Ein Vorläufer d. dt. Kräuterbuchinkunabeln ; T. 2,['Gerhard Bahn'],Publication,True,1941,Fabian,1
1493,Projekt: Semantic Web Entwicklung einer unabhänngigen Bibliothek zur Berechnung von Empfehlungen auf Basis des BibSonomy Empfehlungssystems,['Lukas Hanke'],Publication,True,2013,Fabian,1
1494,SEREX-Analyse einer Testis-derivierten cDNA-Bibliothek: Identifikation und Charakterisierung des neuen Cancer-Testis Antigens SCP1,['Carsten Zwick'],Publication,True,2002,Fabian,1
1497,Synthese und Screening einer Bibliothek von flüssigkristallinen Quaterphenylen: mit kombinatorischen Methoden zum rationalen Design neuer Materialien,['Oliver Deeg'],Publication,True,2002,Fabian,1
1498,Aufbau und Erprobung einer Bibliothek von UV-Remissionsspektren sowie ihre Anwendung in der systematischen-toxikologischen Analyse,['Dirk Reuter'],Publication,True,1998,Fabian,1
1499,Membra disiecta : Inhalt und Wirkung der Bibliothek des Göttinger Professors Lüder Kulenkamp  ; (1724 - 1794) / Annette Pozzo,['Annette Pozzo'],Publication,True,2014,Fabian,1
1500,Die Bibliothek als Missing Link zwischen Smart Citys und Smart Citizen?! Denkanstöße zu einer möglichen Beteiligung,['Sabine Wolf'],Publication,True,2022,Fabian,1
1501,Die Forschungsbibliothek der Zukunft,"['Miriam Lorenz', 'Simone Fühles-Ubach', ' Projektteam']",Publication,True,2009,Fabian,3
1502,Merkwürdige Leute,['Klaus Döhmer'],Publication,True,1984,Fabian,1
1503,"Neue Aufgaben, neue Arbeitsfelder, neue Strukturen: Zur Zukunft der Wissenschaftlichen Bibliotheken im internationalen Forschungswettbewerb am Beispiel des Embedded Librarian","['Friedrich Figge', 'Kirsten Darby', 'Jens Hardt', 'Theresa Liebig', 'Eva-Maria Remeli', 'Viviane Wilde']",Publication,True,2017,Fabian,6
1504,Sustainability hides in libraries: The state of ecological sustainability in libraries,['Leila Sonkkanen'],Publication,True,2013,Fabian,1
1505,Spurensicherung – Provenienzforschung zur Bibliothek von Agathe Lasch. Ein Projekt an der Universitätsbibliothek der Humboldt-Universität zu Berlin,"['Matthias Harbeck', 'Sonja Kobold']",Publication,True,2008,Fabian,2
1506,"Stefan George: Gesamtausgabe der Werke. Faksimile und Volltext (Digitale Bibliothek 99). Berlin: Directmedia Publishing 2004, CD-ROM.",['Claudia Stockinger'],Publication,True,2004,Fabian,1
1507,Der Systemcharakter der wissenschaftlichen Bibliothek: Grundlagen und Entwicklungsmöglichkeiten der wissenschaftlichen Bibliotheken der Bundesrepublik Deutschland aus systemtheoretischer Sicht.,['Felicitas Stroh'],Publication,True,1993,Fabian,1
1508,Die deutsche Jugendliteratur in der zweiten Hälfte des 18. Jahrhunderts auf Grund von Nicolais Allgemeiner Deutscher Bibliothek,['Sophie Köberle'],Publication,True,1924,Fabian,1
1509,Information? Ja! - Abkupfern? Nein!,"['Teresa Ledermann', 'Jens Renner']",Publication,True,2010,Fabian,2
1511,Between Dewey and Dewey: Information Literacy in Germany between a Librarian's and a More Holistiv View,['Thomas Hapke'],Publication,True,2008,Fabian,1
1513,Die Fünfzehn Zeichen in der Handschrift Nr. 215 Nummer zweihundertfünfzehn der Gräflich-von-Schönborn'schen Bibliothek zu Pommersfelden,['Petra Simon'],Publication,True,1978,Fabian,1
1514,Entwurf und Implementierung einer VRML Bibliothek fuer ein objektrelationales Datenbanksystem auf der Basis des VRML 2.0 Standards,"['Thomas Risse', 'Matthias Hemmje']",Publication,True,1997,Fabian,2
1515,Der medizinische Teil der Bibliothek des mecklenburgischen Herzogs Johann Albrecht (1525 - 1576): eine Rekonstruktion und medizinhistorische Bewertung,['Dagmar Arndt'],Publication,True,2003,Fabian,1
1516,Die deutsche Jugendliteratur in der zweiten Hälfte des 18. Jahrhunderts auf Grund von Nicolais Allgemeiner Deutscher Bibliothek,['Sophie Köberle'],Publication,True,1924,Fabian,1
1517,"Deutsche Bibliotheksstatistik (DBS): Konzept, Umsetzung und Perspektiven für eine umfassende Datenbasis zum Bibliothekswesen in Deutschland: 10 Fragen von Bruno Bauer an Ronald M. Schmidt, Leiter der DBS","['Bruno Bauer', 'Ronald M. Schmidt']",Publication,True,2008,Fabian,2
1518,Konstruktion einer rekombinanten Phage-Display-Antikörper-Bibliothek zur Isolierung von humanen monoklonalen Antikörpern gegen Lassavirus und Plasmodium falciparum,['Martin Gabriel'],Publication,True,2008,Fabian,1
1519,Die Längere Notiz über den Puls im Codex Nr. 222 der Bibliothek des Sankt Nikolaus-Hospitals zu Kues,['Franz-Josef Kuntz'],Publication,True,1973,Fabian,1
1520,Festphasensynthese einer Pentapeptid-Bibliothek und deren Nutzung zur Aufklärung der S'-Bindungsortspezifität der Cysteinprotease Clostripain aus Clostridium histolyticum,['Dirk Ullmann'],Publication,True,1994,Fabian,1
1521,Von anderen lernen. Bibliothekarische Verbandsinitiativen zur Erreichung der UN-Nachhaltigkeitsziele im deutschsprachigen Raum,['Katharina Portugal'],Publication,True,2021,Fabian,1
1522,Eine neue Form der Recherche in Bibliotheken,"['Beat Mattmann', 'Noah Regenass']",Publication,True,2021,Fabian,2
1523,Bibliotheksdienst,[' ?'],Publication,True,1967,Fabian,1
1524,Linked Open Data – Wie das Web zur Semantik kam,['Stein Christian'],Publication,True,2014,Fabian,1
1525,Blickpunkt Internet Literaturverwaltung leichtgemacht: Wie Nutzer Literaturangaben und Volltextdateien in Ordnung halten können.,['Jürgen Plieninger'],Publication,True,2008,Fabian,1
1526,Inspiration durch Raum,"['Milan Bulaty', 'Anna-Katharina Huth', 'Regina Pfeifenberger', 'Katharina Tollkühn', 'Christian Winterhalter']",Publication,True,2010,Fabian,5
1527,"""Es wird nur in einem gemeinsamen Miteinander gehen!"" - Interview mit Andrea Kaufmann (Libraries4Future)",['_ aubib.de | Blog'],Publication,True,2019,Fabian,1
1528,Applying a linked data compliant model: The usage of the Europeana Data Model by the Deutsche Digitale Bibliothek.,"['Stefanie Rühle', 'Francesca Schulze', 'Michael Büchner']",Publication,True,2014,Fabian,3
1529,"Die Schedelsche Bibliothek: Ein Beitr. z. Geschichte d. Ausbreitung d. italien. Renaissance, des dt. Humanismus u.d. medizin. Literatur","['Otto Hartig', 'Richard Stauber']",Publication,True,1969,Fabian,2
1530,Festphasensynthese einer Pentapeptid-Bibliothek und deren Nutzung zur Aufklärung der S'-Bindungsortspezifität der Cysteinprotease Clostripain aus Clostridium histolyticum,['Dirk Ullmann'],Publication,True,1994,Fabian,1
1531,Konstruktion einer rekombinanten Phage-Display-Antikörper-Bibliothek zur Isolierung von humanen monoklonalaen Antikörpern gegen Lassavirus und Plasmodium falciparum,['Martin Gabriel'],Publication,True,2008,Fabian,1
1532,"Engagement, Ideenreichtum und viel Motivation: Bibliotheken und ihr Beitrag zur UN-Agenda 2030 / Gemeinsame Online-Workshops","['Heike Ehrlicher', 'Janet Wagner']",Publication,True,2022,Fabian,2
1533,Resource Discovery Systeme im Zusammenspiel mit anderen Rechercheinstrumenten: Eine Analyse am Beispiel der Bibliothek der Evangelischen Hochschule Nürnberg,"['Jaakko Kneissl', 'Heidrun Wiesenmüller']",Publication,True,2019,Fabian,2
1534,My Tree House: World’s first green library for kids,"['Lo Wan Ni', 'Soh Lin Li']",Publication,True,2013,Fabian,2
1537,Do we need a new approach to library and information science?,['Ragnar Andreas Audunson'],Publication,True,2018,Fabian,1
1538,Die Entwicklung der Alten Bibliothek des Tübinger Stifts in ihrem theologie- und geistesgeschichtlichen Zusammenhang: Eine Unters. zur württ. Theologie,['Martin Brecht'],Publication,True,1961,Fabian,1
1539,"Pastoral der Sterbebegleitung im Kloster der Barockzeit: dargestellt im Spiegel der Ars Moriendi-Literatur der Bibliothek St. Walburg, Eichstätt",['Konrad Willi'],Publication,True,2002,Fabian,1
1540,Interaktionen und molekulare Charakterisierung von IgM- und IgG-Antikörpern der Phagen-Display-Bibliothek einer gesunden Probandin mit intravenösen Immunglobulinen,['Melanie Hoffmann'],Publication,True,2001,Fabian,1
1541,Förderung von Informationskompetenz in der KIT-Bibliothek unter besonderer Berücksichtigung der Ausbildung von Lernkompetenz als zentraler Komponente von Informationskompetenz.,"['Anne Linsler', 'Michael Mönnich']",Publication,True,2016,Fabian,2
1542,Die slawischen Verbindungen der Königlichen Bibliothek zu Berlin und der Aufbau ihres Slavica-Bestandes seit ihrer Gründung bis 1871,['Friedhilde Krause'],Publication,True,1970,Fabian,1
1543,Document Type Definitions zur Erschließung von Gattungen des Barock im Internet. Ein Projekt an der Herzog August Bibliothek Wolfenbüttel,['Andrea Opitz'],Publication,True,2003,Fabian,1
1544,Interaktionen und molekulare Charakterisierung von IgM- und IgG-Antikörpern der Phagen-Display-Bibliothek einer gesunden Probandin mit intravenösen Immunglobulinen,['Melanie Hoffmann'],Publication,True,2001,Fabian,1
1545,Wieviel CO2 erzeugt eine Stadtbibliothek?,['Tim Schumann'],Publication,True,2021,Fabian,1
1546,"Freitag, 15. Juni, 10 bis 12 Uhr: Welt retten! Bibliotheken auf dem Weg zur ökologischen und sozialen Nachhaltigkeit",['Petra Hauke'],Publication,True,2018,Fabian,1
1547,"Pastoral der Sterbebegleitung im Kloster der Barockzeit: dargestellt im Spiegel der Ärs Moriendi""-Literatur der Bibliothek St. Walburg, Eichstätt",['Konrad Willi'],Publication,True,2002,Fabian,1
1548,"Text und Bild im Codex 132 der Bibliothek von Montecassino ""Liber Rabani de originibus rerum"": Unters. zur mittelalterl. Illustrationspraxis",['Marianne Reuter'],Publication,True,1982,Fabian,1
