,title,authors,type,year_correct,year_number,collected_by,number_authors
1223,Die Bibliothek der freien Reichsstadt Windsheim,['Gerlinde Lamping'],Publication,True,1966,Fabian,1
1224,RAK-Anwendung in der Deutschen Bibliothek,[' ?'],Publication,True,1978,Fabian,1
1225,Publikationsunterstützung: Die Bibliothek ist nicht genug,['Christian Kaier'],Publication,True,2017,Fabian,1
1226,Bauliche Grundlagen der allgemeinen öffentlichen Bibliothek,['Gerhard Lehmann'],Publication,True,1964,Fabian,1
1227,Open Access für die Digitale Bibliothek.,['Thomas Bürger'],Publication,True,2010,Fabian,1
1228,„Korporatheken“: Die digitale und verdatete Bibliothek,"['Noah Bubenhofer', 'Klaus Rothenhäusler']",Publication,True,2016,Fabian,2
1229,Ein Garten auf dem Dach macht noch keine grüne Bibliothek: Bibliotheken und die UN-Agenda 2030. Rezension,['Beate Hörning'],Publication,True,2019,Fabian,1
1230,Die Bibliothek des Polnischen Institutes Berlin : Überlegungen zum Marketing einer One-Person-Library im binationalen Kontext,['Annekathrin Genest'],Publication,True,2004,Fabian,1
1231,Bibliothek und Moderne in Japan: Das wissenschaftliche Bibliothekswesen zwischen System und Kultur,['Moritz Sommet'],Publication,True,2011,Fabian,1
1232,Die Bibliothek des Kardinals Giovanni d'Aragona (1456 - 1485): illuminierte Handschriften und Inkunabeln für einen humanistischen Bibliophilen zwischen Neapel und Rom,['Thomas Haffner'],Publication,True,1994,Fabian,1
1233,Organisationsinformatik und Digitale Bibliothek in der Wissenschaft,['Klaus Fuchs-Kittowski'],Publication,True,2001,Fabian,1
1234,Ein Überblick über die Entwicklung der Bibliothek,['Paul Trommsdorf'],Publication,True,1931,Fabian,1
1235,Babel - Bibel - Bibliothek: Canettis Aphorismen zur Sprache,['Susanna Engelmann'],Publication,True,1996,Fabian,1
1236,Die Bibliothek des Klosters Bursfelde im Spätmittelalter,['Anja Freckmann'],Publication,True,2004,Fabian,1
1237,"Open Access, Freie Software und Co.: Eine Analyse der Gemengelage","['Markus Schnalke', 'Markus Schnalke']",Publication,True,2014,Fabian,2
